Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Diagnósticos/Tratamiento,05/12/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,26/09/2024,Primerizas-ProduccionLeche -> ,DelproCliente,
,Condición corporal,26/09/2024,Condición corporal: 3.50 - DDUP: 314,DelproCliente,
,Secado,26/09/2024,Dry Off,DelproCliente,"Se seco con 314 DEL, 26.13 litros. 188 DCC, quedo gestante en la 2 insem."
,Cambio de grupo,26/09/2024,"1, VMS 1 -> 100, SECAS",DelproCliente,
,Diagnósticos/Tratamiento,26/09/2024,Dns: Secar; Loc.: DD; Trat: CEFA SAFE; Med: CEFA SAFE 1 d 1X4pcs,DelproCliente,
,Diagnósticos/Tratamiento,26/09/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,DelproCliente,
,Diagnósticos/Tratamiento,26/09/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Control de Gestación,15/08/2024,+,User1,
,Control de Gestación,16/05/2024,+,User1,
,Control de Gestación,09/05/2024,+,User1,
,Inseminación,22/03/2024,"Effective Insemination 
Artificial Insemination; 8403141608169; BIG DOLLARS; Unknown Brand; Roma",Roma,NO TUR
,Celo,22/03/2024,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,14/03/2024,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,14/03/2024,-,User1,VACIA 34 POST. INS
,Cambio tabla alimentación,07/03/2024,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,09/02/2024,Artificial Insemination; 8403142490309; LIONEL; Sexed; Unknown Brand; Roma,Roma,POCO TUR
,Celo,09/02/2024,Herd Navigator,Roma,
,Cambio de grupo,13/01/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Invitación Visita Veterinaria,28/12/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,21/12/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,14/12/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,07/12/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,30/11/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,22/11/2023,Vacas frescas,DR  RAFA (Veterinario),
,Cambio tabla alimentación,18/11/2023,None -> primerizas-DEL,Admin,
,Cambio ID Transponder,17/11/2023, -> 982000464364434,,
,Cambio de grupo,17/11/2023,"20, RETO -> 3, VMS 3",User1,
,Parto,17/11/2023,Normal; 1673,User1,
,Condición corporal,03/11/2023,Condición corporal: 3.50 - DDUP: 0,DelproCliente,
,Cambio de grupo,03/11/2023,"100, SECAS -> 20, RETO",DelproCliente,
,Diagnósticos/Tratamiento,03/11/2023,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,DelproCliente,007102
,Diagnósticos/Tratamiento,03/11/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Diagnósticos/Tratamiento,09/09/2023,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,DelproCliente,
,Diagnósticos/Tratamiento,09/09/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Cambio de grupo,09/09/2023,"106, BECERRAS/NOVILLAS -> 100, SECAS",DelproCliente,
,Condición corporal,09/09/2023,Condición corporal: 4.50 - DDUP: 0,DelproCliente,
,Control de Gestación,20/07/2023,+,DelproCliente,
,Invitación Visita Veterinaria,20/07/2023,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,18/05/2023,+,DelproCliente,
,Invitación Visita Veterinaria,18/05/2023,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,17/05/2023,Dns: LEPTOFERM 5; Loc.: DD; Trat: LEPTOFERM 5; Med: LEPTOFERM 5 1 d 1X2ml,User1,
,Control de Gestación,30/03/2023,+,DelproCliente,
,Invitación Visita Veterinaria,30/03/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,15/02/2023,"Effective Insemination 
Artificial Insemination; 19266718; HOME TOWN; Unknown Brand; Matías",Matías,
,Celo,15/02/2023,Se deja montar,Matías,
,Inseminación,02/02/2023,Artificial Insemination; 19266718; HOME TOWN; Unknown Brand; Matías,Matías,
,Celo,02/02/2023,Se deja montar,Matías,
,Inseminación,07/01/2023,Artificial Insemination; 8403216874976; MAGNUM; Unknown Brand; Matías,Matías,
,Celo,07/01/2023,Se deja montar,Matías,
,Inseminación,19/12/2022,Artificial Insemination; 8403216874976; MAGNUM; Unknown Brand; Matías,Matías,
,Celo,19/12/2022,Se deja montar,Matías,
,Diagnósticos/Tratamiento,15/12/2022,Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml Intramuscular,DelproCliente,
,Celo,04/12/2022,Se deja montar,Matías,NO LE TOCA
,Celo,01/12/2022,Se deja montar,Matías,NO LE TOCA
,Invitación Visita Veterinaria,30/11/2022,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Cambio de grupo,02/05/2022," -> 106, BECERRAS/NOVILLAS",User1,
,Cambio de grupo,13/03/2022, -> ,Rodrigo,
,Entrada,26/10/2021,Nacimiento,User1,
