Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Diagnósticos/Tratamiento,08/06/2023,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,DelproCliente,
,Cambio tabla alimentación,05/06/2023,primerizas-DEL -> ,DelproCliente,
,Cambio de grupo,05/06/2023,"3, VMS 3 -> 102, ESTABLO INICIAL",DelproCliente,
,Diagnósticos/Tratamiento,01/06/2023,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,DelproCliente,
,Invitación Visita Veterinaria,01/06/2023,"Vacas frescas, Available for Vet Visit earliest 15/06/2023",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,01/06/2023,Vacas frescas,DR  RAFA (Veterinario),
,Cambio tabla alimentación,27/05/2023,None -> primerizas-DEL,Admin,
,Cambio ID Transponder,26/05/2023, -> 982000420235757,,
,Cambio de grupo,26/05/2023,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,26/05/2023,Normal; 8774,DelproCliente,
,Cambio de grupo,12/05/2023,"100, SECAS -> 20, RETO",DelproCliente,
,Diagnósticos/Tratamiento,06/03/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Diagnósticos/Tratamiento,06/03/2023,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,DelproCliente,
,Cambio de grupo,06/03/2023,"106, BECERRAS/NOVILLAS -> 100, SECAS",DelproCliente,
,Invitación Visita Veterinaria,02/02/2023,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,26/01/2023,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,01/12/2022,+,User1,
,Invitación Visita Veterinaria,30/11/2022,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,13/10/2022,+,User1,
,Invitación Visita Veterinaria,13/10/2022,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,06/10/2022,Resynch para GNRH (dias ultima insm 33-39),DR  RAFA (Veterinario),
,Inseminación,28/08/2022,"Effective Insemination 
Artificial Insemination; 840003200824992; Unknown Brand; Matías",User1,
,Celo,28/08/2022,Se deja montar,User1,
,Peso,16/08/2022,399 kg,Dra Guadalupe (Veterinario),135 ALTURA
,Invitación Visita Veterinaria,11/08/2022,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Inseminación,08/08/2022,Artificial Insemination; 8403216874976; MAGNUM; Unknown Brand; Matías,User1,
,Celo,08/08/2022,Se deja montar,User1,
,Celo,01/08/2022,Herd Navigator,Matías,NO LE TOCA
,Celo,29/06/2022,Se deja montar,User1,
,Cambio de grupo,02/05/2022," -> 106, BECERRAS/NOVILLAS",User1,
,Cambio de grupo,13/03/2022, -> ,Rodrigo,
,Entrada,05/07/2021,Nacimiento,User1,
