Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Diagnósticos/Tratamiento,17/05/2023,Dns: LEPTOFERM 5; Loc.: DD; Trat: LEPTOFERM 5; Med: LEPTOFERM 5 1 d 1X2ml,User1,
,Control de Gestación,13/04/2023,+,DelproCliente,
,Invitación Visita Veterinaria,13/04/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Peso,07/03/2023,328 kg,DelproCliente,TALLA 133.8
,Inseminación,28/02/2023,"Effective Insemination 
Artificial Insemination; 8403211394853; PAYLOAD; Unknown Brand; Matías",Matías,
,Celo,28/02/2023,Se deja montar,Matías,
,Inseminación,08/02/2023,Artificial Insemination; 8403142490309; LIONEL; Sexed; Unknown Brand; Matías,Matías,
,Celo,08/02/2023,Se deja montar,Matías,
,Celo,14/01/2023,Se deja montar,Matías,NO LE TOCA
,Invitación Visita Veterinaria,12/01/2023,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Cambio de grupo,02/05/2022," -> 106, BECERRAS/NOVILLAS",User1,
,Cambio de grupo,13/03/2022, -> ,Rodrigo,
,Entrada,03/12/2021,Nacimiento,User1,
