Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Inseminación,02/12/2023,"Effective Insemination 
Artificial Insemination; 18759682; CHECK; Unknown Brand; Matías",Matías,
,Celo,02/12/2023,Se deja montar,Matías,
,Control de Gestación,23/11/2023,-,User1,vacia de 45 post.-ins se le puso cidr
,Invitación Visita Veterinaria,22/11/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,08/10/2023,Artificial Insemination; 18759682; CHECK; Unknown Brand; Matías,Matías,
,Celo,08/10/2023,Se deja montar,Matías,
,Invitación Visita Veterinaria,05/10/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,27/09/2023,Dns: ; Loc.: DD; Trat: GNRH revision; Med: LIBERACTIVE 1 d 1X2ml Intramuscular,DelproCliente,
,Peso,06/09/2023,306 kg,DelproCliente,ALTURA DE 131.2 CM A LA GRUPA
,Invitación Visita Veterinaria,31/08/2023,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Inseminación,23/08/2023,Artificial Insemination; 8403824809684; CUMULUS; Unknown Brand; Matías,Matías,
,Celo,23/08/2023,Se deja montar,Matías,
,Diagnósticos/Tratamiento,17/08/2023,Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml Intramuscular,DelproCliente,
,Invitación Visita Veterinaria,17/08/2023,"PG1 Becerras (edad en dias 400-407), Available for Vet Visit earliest 31/08/2023",DR  RAFA (Veterinario),
,Peso,27/09/2022,61 kg,DelproCliente,ALTURA 88.7
,Diagnósticos/Tratamiento,27/09/2022,Dns: VACUNA; Loc.: DD; Trat: ONE-SHOT; Med: ,DelproCliente,
,Entrada,07/07/2022,Nacimiento,User1,
