Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Celo,10/03/2024,Otros,Matías,
,Diagnósticos/Tratamiento,07/03/2024,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,
,Diagnósticos/Tratamiento,29/02/2024,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Aborto,29/02/2024,Generado automáticamente por comprobación de preñez(-),User1,salio vacia a los 93 (en la segunda recorfirmacion)
,Invitación Visita Veterinaria,29/02/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,04/01/2024,+,User1,
,Peso,06/12/2023,341 kg,DelproCliente,Talla: 136 cm
,Inseminación,28/11/2023,"Effective Insemination 
Artificial Insemination; 8403205704083; LEXUS; Unknown Brand; Matías",Matías,
,Celo,28/11/2023,Se deja montar,Matías,
,Inseminación,11/11/2023,Artificial Insemination; 8403142490309; LIONEL; Sexed; Unknown Brand; Alfredo,Alfredo,NO TUR
,Celo,11/11/2023,Herd Navigator,Alfredo,
,Control de Gestación,09/11/2023,-,DelproCliente,
,Invitación Visita Veterinaria,09/11/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,30/09/2023,Artificial Insemination; 8403224809684; CUMULUS; Unknown Brand; Matías,Matías,
,Celo,30/09/2023,Se deja montar,Matías,
,Diagnósticos/Tratamiento,28/09/2023,Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml Intramuscular,DelproCliente,
,Invitación Visita Veterinaria,28/09/2023,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Peso,06/09/2023,305 kg,DelproCliente,ALTURA DE 131 CM A LA GRUPA
,Entrada,21/08/2022,Nacimiento,DelproCliente,
