Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Celo,03/02/2025,Herd Navigator,DelproCliente,no letoca
,Invitación Visita Veterinaria,30/01/2025,"30/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Celo,19/01/2025,Herd Navigator,Roma,No le toca
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,07/01/2025,"3, VMS 3 -> 1, VMS 1",User1,
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,30/12/2024,Dns: Mastitis clínica; Loc.: DD; Trat: RILEXINE; Med: RILEXINE 3 d 2X1pcs,DelproCliente,
,Cambio tabla alimentación,20/12/2024,None -> primerizas-DEL,Admin,
,Cambio de grupo,19/12/2024,"20, RETO -> 3, VMS 3",Roma,
,Parto,19/12/2024,Normal; 7366,Roma,
,Cambio ID Transponder,05/12/2024, -> 982000464364535,,
,Condición corporal,05/12/2024,Condición corporal: 4.00 - DDUP: 0,User1,
,Cambio de grupo,05/12/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,05/12/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,008734
,Diagnósticos/Tratamiento,05/12/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,05/12/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio de grupo,17/10/2024,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,17/10/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Diagnósticos/Tratamiento,17/10/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Control de Gestación,15/08/2024,+,User1,GESTANTE DE 145
,Control de Gestación,27/06/2024,+,User1,
,Invitación Visita Veterinaria,27/06/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Peso,19/06/2024,468 kg,User1,1.44 ALTURA
,Control de Gestación,02/05/2024,+,User1,
,Inseminación,23/03/2024,"Effective Insemination 
Artificial Insemination; 840003224956190; BARBAZZA ALTA; Unknown Brand; UnknownBreeder",DelproCliente,
,Celo,23/03/2024,Herd Navigator,DelproCliente,
,Diagnósticos/Tratamiento,21/03/2024,Dns: Presynch; Loc.: DD; Trat: PG2; Med: ,User1,
,Diagnósticos/Tratamiento,07/03/2024,Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml Intramuscular,User1,
,Invitación Visita Veterinaria,07/03/2024,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Celo,25/02/2024,Se deja montar,Matías,NO LE TOCA
,Entrada,27/01/2023,Nacimiento,DelproCliente,
