Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Diagnósticos/Tratamiento,02/01/2025,Dns: Vacia; Loc.: DD; Trat: GNRH OVS; Med: ,User1,
,Control de Gestación,02/01/2025,-,User1,VACIA DE 34 POST. INSEM
,Cambio tabla alimentación,24/12/2024,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,29/11/2024,Artificial Insemination; 8403214324447; OVER-THE-THOP; Unknown Brand; Roma,Roma,ML TUR -SESADO
,Celo,29/11/2024,Herd Navigator,Roma,
,Invitación Visita Veterinaria,24/10/2024,"24/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,17/10/2024,"17/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,10/10/2024,"10/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,03/10/2024,"03/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,30/09/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Invitación Visita Veterinaria,26/09/2024,"26/09/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/09/2024,"19/09/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,12/09/2024,Vacas frescas,DR  RAFA (Veterinario),
,Cambio tabla alimentación,05/09/2024,None -> primerizas-DEL,Admin,
,Cambio de grupo,04/09/2024,"20, RETO -> 3, VMS 3",User1,
,Parto,04/09/2024,Normal; 91591,User1,
,Cambio ID Transponder,20/08/2024, -> 982000434159773,,
,Condición corporal,20/08/2024,Condición corporal: 3.75 - DDUP: 0,DelproCliente,
,Cambio de grupo,20/08/2024,"100, SECAS -> 20, RETO",DelproCliente,
,Diagnósticos/Tratamiento,20/08/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,DelproCliente,005965
,Diagnósticos/Tratamiento,20/08/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Diagnósticos/Tratamiento,20/08/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",DelproCliente,
,Diagnósticos/Tratamiento,13/06/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Diagnósticos/Tratamiento,13/06/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Cambio de grupo,13/06/2024,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,
,Control de Gestación,29/02/2024,+,User1,
,Invitación Visita Veterinaria,29/02/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,04/01/2024,+,User1,CARGADA DE 35 POST.INS
,Peso,06/12/2023,401 kg,DelproCliente,Talla: 139 cm
,Inseminación,30/11/2023,"Effective Insemination 
Artificial Insemination; 8403205704083; LEXUS; Unknown Brand; Matías",Matías,
,Celo,30/11/2023,Se deja montar,Matías,
,Inseminación,12/11/2023,Artificial Insemination; 8403142490309; LIONEL; Sexed; Unknown Brand; Roma,Roma,
,Celo,12/11/2023,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,09/11/2023,Dns: Presynch; Loc.: DD; Trat: PG2; Med: ,DelproCliente,
,Invitación Visita Veterinaria,26/10/2023,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Celo,09/10/2023,Se deja montar,Matías,NO LE TOCA
,Entrada,20/09/2022,Nacimiento,DelproCliente,
